@은영이에게,#안녕,@은영이에게,https://www.melon.com/video/detail2.htm?songId=37136813&menuId=1000003084
Super Lady,(여자)아이들,2,https://www.melon.com/video/detail2.htm?songId=37138464&menuId=1000003084
Wife,(여자)아이들,2,https://www.melon.com/video/detail2.htm?songId=37138471&menuId=1000003084
나는 아픈 건 딱 질색이니까,(여자)아이들,2,
Obsessed,Ayumu Imazu,Obsessed,
Beautiful Things,Benson Boone,Beautiful Things,
Thinkin' About You,H1-KEY (하이키),H1-KEYnote #1 [Thinkin' About You],https://www.melon.com/video/detail2.htm?songId=37136360&menuId=1000003084
who Am I,JD1,who Am I,https://www.melon.com/video/detail2.htm?songId=37113522&menuId=1000003084
EASY,LE SSERAFIM (르세라핌),EASY,https://www.melon.com/video/detail2.htm?songId=37225604&menuId=1000003084
Swan Song,LE SSERAFIM (르세라핌),EASY,
Smart,LE SSERAFIM (르세라핌),EASY,
We got so much,LE SSERAFIM (르세라핌),EASY,
Good Bones,LE SSERAFIM (르세라핌),EASY,https://www.melon.com/video/detail2.htm?songId=37160508&menuId=1000003084
DASH,NMIXX,Fe3O4: BREAK,https://www.melon.com/video/detail2.htm?songId=37120976&menuId=1000003084
Sonar (Breaker),NMIXX,Fe3O4: BREAK,https://www.melon.com/video/detail2.htm?songId=37028929&menuId=1000003084
Merry PLLIstmas,PLAVE,Merry PLLIstmas,
Love 119,RIIZE,Love 119,https://www.melon.com/video/detail2.htm?songId=37098744&menuId=1000003084
첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’,https://www.melon.com/video/detail2.htm?songId=37140709&menuId=1000003084
Yes or No,그루비룸 (GroovyRoom),Yes or No,
밤양갱,비비 (BIBI),밤양갱,https://www.melon.com/video/detail2.htm?songId=37194943&menuId=1000003084
사랑할 수밖에,볼빨간사춘기,Merry Go Round,
그대가 있는 곳 언제 어디든,로이킴,로이킴 X 마이데몬,https://www.melon.com/video/detail2.htm?songId=37022702&menuId=1000003084
와이셔츠를 다렸지,릴러말즈 (Leellamarz),L&B,
내일 이별,박보람.허각,좋겠다,https://www.melon.com/video/detail2.htm?songId=37222937&menuId=1000003084
TOUCHIN&MOVIN,문별 (마마무),Starlit of Muse,https://www.melon.com/video/detail2.htm?songId=37185124&menuId=1000003084
Shopper,아이유,The Winning,https://www.melon.com/video/detail2.htm?songId=37229121&menuId=1000003084
홀씨,아이유,The Winning,https://www.melon.com/video/detail2.htm?songId=37222942&menuId=1000003084
Shh..,아이유,The Winning,https://www.melon.com/video/detail2.htm?songId=37229122&menuId=1000003084
관객이 될게 (I stan U),아이유,The Winning,
비의 랩소디,임재현,비의 랩소디,
에피소드,이무진,에피소드,https://www.melon.com/video/detail2.htm?songId=37053556&menuId=1000003084
천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창,
형,이보람 (씨야),형,
I Love You,안세하,I Love You,
널 미워하기로 했어,이예준,널 미워하기로 했어,
하루,에일리(Ailee),하루,
Closer Than This,지민,Closer Than This,
풍등 (Choir Ver.),이찬원,풍등 (Choir Ver.),https://www.melon.com/video/detail2.htm?songId=37062532&menuId=1000003084
새벽 통화,적재,새벽 통화,
NO MORE (MA BOY),씨스타19,NO MORE (MA BOY),https://www.melon.com/video/detail2.htm?songId=37121242&menuId=1000003084
기도,임한별.에스페로,기도,https://www.melon.com/video/detail2.htm?songId=37222018&menuId=1000003084
불쑥,장덕철,불쑥,
To. X,태연 (TAEYEON),To. X - The 5th Mini Album,https://www.melon.com/video/detail2.htm?songId=37003911&menuId=1000003084
꿈,태연 (TAEYEON),웰컴투 삼달리 OST Part.3,https://www.melon.com/video/detail2.htm?songId=37064763&menuId=1000003084
기억해줘요 내 모든 날과 그때를,화곡동 청개구리,기억해줘요 내 모든 날과 그때를,
화이트 (White),폴킴,화이트 (White),https://www.melon.com/video/detail2.htm?songId=37073699&menuId=1000003084
입술 (Feat. 10CM),헤이즈 (Heize),Last Winter,https://www.melon.com/video/detail2.htm?songId=37033475&menuId=1000003084
